place_id,name,place_kind,subtype,accessibility_rating,condition_rating,lat,lon,source_file
furniture-1079784,Seat - Metal Seat,street_furniture,Seat,,3.0,-37.82862706258857,144.9855103555036,street_furniture_clean.csv
furniture-1079811,Seat - Metal Seat,street_furniture,Seat,,3.04,-37.80270250796545,144.94969654550547,street_furniture_clean.csv
furniture-1079833,Seat - Stainless Steel Straight Seat,street_furniture,Seat,,4.44,-37.81346291525078,144.97310527212738,street_furniture_clean.csv
furniture-1079860,Seat - Metal Seat,street_furniture,Seat,,3.02,-37.82597765164791,144.96189797875994,street_furniture_clean.csv
furniture-1079874,Seat - Straight Seat - Wooden & Concrete,street_furniture,Seat,,1.39,-37.83328840651712,144.97953157132548,street_furniture_clean.csv
furniture-1079890,Seat - Straight Seat - Wooden & Concrete,street_furniture,Seat,,1.0,-37.81721150494469,144.95481072129226,street_furniture_clean.csv
furniture-1079901,Seat - Straight Seat - Wooden Battens,street_furniture,Seat,,2.32,-37.81084093960434,144.95580823325966,street_furniture_clean.csv
furniture-1079904,Seat - Straight Seat - Wooden Battens - Type 2,street_furniture,Seat,,2.86,-37.81235400026087,144.98895603066194,street_furniture_clean.csv
furniture-1079905,Seat - Straight Seat - Wooden Battens - Type 2,street_furniture,Seat,,2.86,-37.81239510555292,144.98935248843486,street_furniture_clean.csv
furniture-1079954,Seat - Straight Seat - Wooden Battens - Type 2,street_furniture,Seat,,3.18,-37.79198927502134,144.92295613077,street_furniture_clean.csv
furniture-1079957,Seat - Straight Seat - Wooden Battens - Type 2,street_furniture,Seat,,1.79,-37.82872751821799,144.97374562583667,street_furniture_clean.csv
furniture-1514864,Seat - Stainless Steel Straight Seat,street_furniture,Seat,,4.44,-37.81189142125586,144.96476567443534,street_furniture_clean.csv
furniture-1550169,Seat - Stainless Steel Seat - Fixed,street_furniture,Seat,,3.45,-37.81646078080031,144.96287611422494,street_furniture_clean.csv
furniture-1550173,Seat - Stainless Steel Seat - Fixed,street_furniture,Seat,,3.45,-37.81671730902983,144.96196788497636,street_furniture_clean.csv
furniture-1551439,Seat - Metal frame Wooden Slats,street_furniture,Seat,,2.03,-37.77696337149776,144.9392920604222,street_furniture_clean.csv
furniture-1551581,Seat - Urban Design Park Style - Green Powder Coat -Warun Biik Park,street_furniture,Seat,,3.0,-37.79619140944275,144.92644689117583,street_furniture_clean.csv
furniture-1553754,Seat - Wooden Bench,street_furniture,Seat,,2.11,-37.82403595215887,144.95067200934025,street_furniture_clean.csv
furniture-1553760,Seat - Wooden Bench,street_furniture,Seat,,2.11,-37.82398365881558,144.94998725495532,street_furniture_clean.csv
furniture-1553769,Seat - Wooden Bench,street_furniture,Seat,,2.11,-37.8239239437848,144.94948198258297,street_furniture_clean.csv
furniture-1556680,Seat - Stainless Steel Straight Seat - Docklands,street_furniture,Seat,,2.77,-37.8155726501539,144.93755600874425,street_furniture_clean.csv
furniture-1556977,Seat - Stainless Steel Straight Seat - Station Street Park,street_furniture,Seat,,4.0,-37.79681986739051,144.97403782981974,street_furniture_clean.csv
furniture-1556981,Seat - Stainless Steel Straight Seat - Station Street Park,street_furniture,Seat,,4.0,-37.79710642504555,144.97407872159854,street_furniture_clean.csv
furniture-1556982,Seat - Stainless Steel Straight Seat - Station Street Park,street_furniture,Seat,,4.0,-37.79717923105981,144.97396293659835,street_furniture_clean.csv
furniture-1556985,Drinking Fountain - Stainless Steel Drinking Fountain - Leaf Type - Station Street Park,street_furniture,Drinking Fountain,,4.0,-37.79735923804568,144.97398629700336,street_furniture_clean.csv
furniture-1546794,Seat - Unclassified,street_furniture,Seat,,3.0,-37.79949108580395,144.9505046028772,street_furniture_clean.csv
furniture-1551445,Seat - Stainless Steel Straight Seat,street_furniture,Seat,,3.45,-37.81514352075236,144.9673913081977,street_furniture_clean.csv
furniture-1566084,Seat - Stainless Steel Bench - Docklands,street_furniture,Seat,,3.24,-37.81826195289023,144.94883461776325,street_furniture_clean.csv
furniture-1566846,Seat - Metal Seat - Kensington Banks Type - Warun Biik Park,street_furniture,Seat,,3.0,-37.79625805770352,144.92593295629518,street_furniture_clean.csv
furniture-1566856,Seat - Straight Seat - Wooden Battens - Type 2 - Parkville Gardens,street_furniture,Seat,,4.0,-37.77773900494902,144.94031677617113,street_furniture_clean.csv
furniture-1567003,Seat - Stainless Steel Seat - Fixed,street_furniture,Seat,,3.45,-37.81708941520883,144.96070374419125,street_furniture_clean.csv
furniture-1569678,Seat - Straight Seat - Wooden Battens - Type 2 - Royal Park,street_furniture,Seat,,3.0,-37.77897713638127,144.9543875269044,street_furniture_clean.csv
furniture-1569726,Seat - Stainless Frame with Narrow Wooden Slats (Back to Back) - Argyle Square,street_furniture,Seat,,4.0,-37.80311431592252,144.96583474767212,street_furniture_clean.csv
furniture-1569728,Seat - Stainless Frame with Narrow Wooden Slats (Back to Back) - Argyle Square,street_furniture,Seat,,4.0,-37.80296651642554,144.9657613431776,street_furniture_clean.csv
furniture-1569730,Seat - Stainless Frame with Narrow Wooden Slats (Back to Back) - Argyle Square,street_furniture,Seat,,4.0,-37.80311178933135,144.96573543652465,street_furniture_clean.csv
furniture-1569733,Seat - Straight Seat - Wooden Battens - Type 2 - Princes Park,street_furniture,Seat,,3.0,-37.78454664871775,144.96025138115726,street_furniture_clean.csv
furniture-1577153,Seat - Stainless Steel Seat - Fixed,street_furniture,Seat,,3.36,-37.81889769355461,144.9460358245029,street_furniture_clean.csv
